Rk,Year,Tm,Lg,W,L,Finish,Playoffs,Stadium,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF
1,2013,Detroit Tigers,AL Central,38,29,1,,Comerica Park,"1,155,326","36,104",4th of 15,"$147,574,500",104,105
2,2012,Detroit Tigers,AL Central,88,74,1,Lost WS (4-0),Comerica Park,"3,028,033","37,383",5th of 14,"$131,394,000",103,104
3,2011,Detroit Tigers,AL Central,95,67,1,Lost ALCS (4-2),Comerica Park,"2,642,045","32,618",6th of 14,"$106,875,231",101,102
4,2010,Detroit Tigers,AL Central,81,81,3,,Comerica Park,"2,461,237","30,386",6th of 14,"$124,039,928",101,102
5,2009,Detroit Tigers,AL Central,86,77,2,,Comerica Park,"2,567,165","31,693",4th of 14,"$119,510,145",101,101
6,2008,Detroit Tigers,AL Central,74,88,5,,Comerica Park,"3,202,645","39,539",3rd of 14,"$138,785,196",102,102
7,2007,Detroit Tigers,AL Central,88,74,2,,Comerica Park,"3,047,133","37,619",3rd of 14,"$95,180,369",101,102
8,2006,Detroit Tigers,AL Central,95,67,2,Lost WS (4-1),Comerica Park,"2,595,937","32,049",5th of 14,"$82,612,866",99,100
9,2005,Detroit Tigers,AL Central,71,91,4,,Comerica Park,"2,024,431","24,993",10th of 14,"$69,092,000",97,97
10,2004,Detroit Tigers,AL Central,72,90,4,,Comerica Park,"1,917,004","23,667",9th of 14,"$46,832,000",96,94
11,2003,Detroit Tigers,AL Central,43,119,5,,Comerica Park,"1,368,245","16,892",13th of 14,"$49,168,000",95,93
12,2002,Detroit Tigers,AL Central,55,106,5,,Comerica Park,"1,503,623","18,795",12th of 14,"$55,048,000",95,92
13,2001,Detroit Tigers,AL Central,66,96,4,,Comerica Park,"1,921,305","23,720",9th of 14,"$53,416,167",95,93
14,2000,Detroit Tigers,AL Central,79,83,3,,Comerica Park,"2,438,617","30,106",7th of 14,"$59,645,167",95,94
15,1999,Detroit Tigers,AL Central,69,92,3,,Tiger Stadium,"2,026,441","25,018",9th of 14,"$36,689,666",100,99
16,1998,Detroit Tigers,AL Central,65,97,5,,Tiger Stadium,"1,409,391","17,400",11th of 14,"$24,265,000",101,100
17,1997,Detroit Tigers,AL East,79,83,3,,Tiger Stadium,"1,365,157","16,854",13th of 14,"$17,272,000",100,99
18,1996,Detroit Tigers,AL East,53,109,5,,Tiger Stadium,"1,168,610","14,427",13th of 14,"$23,438,000",102,100
19,1995,Detroit Tigers,AL East,60,84,4,,Tiger Stadium,"1,180,979","16,402",11th of 14,"$37,044,168",102,100
20,1994,Detroit Tigers,AL East,53,62,5,,Tiger Stadium,"1,184,783","20,427",13th of 14,"$41,446,501",101,100
21,1993,Detroit Tigers,AL East,85,77,3,,Tiger Stadium,"1,971,421","24,339",12th of 14,"$38,150,165",99,99
22,1992,Detroit Tigers,AL East,75,87,6,,Tiger Stadium,"1,423,963","17,800",13th of 14,"$27,322,834",100,100
23,1991,Detroit Tigers,AL East,84,78,2,,Tiger Stadium,"1,641,661","20,267",12th of 14,"$23,838,333",102,102
24,1990,Detroit Tigers,AL East,79,83,3,,Tiger Stadium,"1,495,785","18,466",13th of 14,"$18,393,238",102,101
25,1989,Detroit Tigers,AL East,59,103,7,,Tiger Stadium,"1,543,656","19,057",11th of 14,"$15,669,304",99,98
26,1988,Detroit Tigers,AL East,88,74,2,,Tiger Stadium,"2,081,162","25,693",8th of 14,"$13,432,071",96,96
27,1987,Detroit Tigers,AL East,98,64,1,Lost ALCS (4-1),Tiger Stadium,"2,061,830","25,455",7th of 14,"$12,122,881",95,96
28,1986,Detroit Tigers,AL East,87,75,3,,Tiger Stadium,"1,899,437","23,450",7th of 14,"$12,335,714",99,100
29,1985,Detroit Tigers,AL East,84,77,3,,Tiger Stadium,"2,286,609","28,230",3rd of 14,"$10,348,143",98,99
30,1984,Detroit Tigers,AL East,104,58,1,Won WS (4-1),Tiger Stadium,"2,704,794","32,985",1st of 14,,98,99
31,1983,Detroit Tigers,AL East,92,70,2,,Tiger Stadium,"1,829,636","22,588",8th of 14,,96,97
32,1982,Detroit Tigers,AL East,83,79,4,,Tiger Stadium,"1,636,058","20,198",7th of 14,,99,100
33,1981,Detroit Tigers,AL East,60,49,3,,Tiger Stadium,"1,149,144","20,894",5th of 14,,103,103
34,1980,Detroit Tigers,AL East,84,78,4,,Tiger Stadium,"1,785,293","21,772",7th of 14,,102,102
35,1979,Detroit Tigers,AL East,85,76,5,,Tiger Stadium,"1,630,929","20,387",7th of 14,,103,103
36,1978,Detroit Tigers,AL East,86,76,5,,Tiger Stadium,"1,714,893","21,172",5th of 14,,102,103
37,1977,Detroit Tigers,AL East,74,88,4,,Tiger Stadium,"1,359,856","16,788",7th of 14,,105,105
38,1976,Detroit Tigers,AL East,74,87,5,,Tiger Stadium,"1,467,020","18,338",4th of 12,,105,103
39,1975,Detroit Tigers,AL East,57,102,6,,Tiger Stadium,"1,058,836","13,235",6th of 12,,105,103
40,1974,Detroit Tigers,AL East,72,90,6,,Tiger Stadium,"1,243,080","15,347",3rd of 12,,104,102
41,1973,Detroit Tigers,AL East,85,77,3,,Tiger Stadium,"1,724,146","21,286",1st of 12,,106,106
42,1972,Detroit Tigers,AL East,86,70,1,Lost ALCS (3-2),Tiger Stadium,"1,892,386","24,261",1st of 12,,103,103
43,1971,Detroit Tigers,AL East,91,71,2,,Tiger Stadium,"1,591,073","19,643",2nd of 12,,104,105
44,1970,Detroit Tigers,AL East,79,83,4,,Tiger Stadium,"1,501,293","18,534",2nd of 12,,101,101
45,1969,Detroit Tigers,AL East,90,72,2,,Tiger Stadium,"1,577,481","19,475",2nd of 12,,103,105
46,1968,Detroit Tigers,AL,103,59,1,Won WS (4-3),Tiger Stadium,"2,031,847","25,085",1st of 10,,101,103
47,1967,Detroit Tigers,AL,91,71,2,,Tiger Stadium,"1,447,143","17,648",3rd of 10,,101,103
48,1966,Detroit Tigers,AL,88,74,3,,Tiger Stadium,"1,124,293","13,880",5th of 10,,101,103
49,1965,Detroit Tigers,AL,89,73,4,,Tiger Stadium,"1,029,645","12,712",4th of 10,,101,101
50,1964,Detroit Tigers,AL,85,77,4,,Tiger Stadium,"816,139","9,953",6th of 10,,101,102
51,1963,Detroit Tigers,AL,79,83,5,,Tiger Stadium,"821,952","10,148",6th of 10,,103,103
52,1962,Detroit Tigers,AL,85,76,4,,Tiger Stadium,"1,207,881","14,730",3rd of 10,,103,104
53,1961,Detroit Tigers,AL,101,61,2,,Tiger Stadium,"1,600,710","19,521",2nd of 10,,102,103
54,1960,Detroit Tigers,AL,71,83,6,,Briggs Stadium,"1,167,669","15,165",4th of 8,,103,104
55,1959,Detroit Tigers,AL,76,78,4,,Briggs Stadium,"1,221,221","15,860",4th of 8,,105,106
56,1958,Detroit Tigers,AL,77,77,5,,Briggs Stadium,"1,098,924","14,272",2nd of 8,,107,107
57,1957,Detroit Tigers,AL,78,76,4,,Briggs Stadium,"1,272,346","16,524",2nd of 8,,102,103
58,1956,Detroit Tigers,AL,82,72,5,,Briggs Stadium,"1,051,182","13,477",3rd of 8,,100,101
59,1955,Detroit Tigers,AL,79,75,5,,Briggs Stadium,"1,181,838","15,349",5th of 8,,98,98
60,1954,Detroit Tigers,AL,68,86,5,,Briggs Stadium,"1,079,847","14,024",4th of 8,,100,99
61,1953,Detroit Tigers,AL,60,94,6,,Briggs Stadium,"884,658","11,198",5th of 8,,101,98
62,1952,Detroit Tigers,AL,50,104,8,,Briggs Stadium,"1,026,846","13,336",5th of 8,,103,100
63,1951,Detroit Tigers,AL,73,81,5,,Briggs Stadium,"1,132,641","14,710",5th of 8,,101,100
64,1950,Detroit Tigers,AL,95,59,2,,Briggs Stadium,"1,951,474","24,092",2nd of 8,,102,103
65,1949,Detroit Tigers,AL,87,67,4,,Briggs Stadium,"1,821,204","23,349",3rd of 8,,99,100
66,1948,Detroit Tigers,AL,78,76,5,,Briggs Stadium,"1,743,035","22,637",3rd of 8,,102,103
67,1947,Detroit Tigers,AL,85,69,2,,Briggs Stadium,"1,398,093","17,476",4th of 8,,102,104
68,1946,Detroit Tigers,AL,92,62,2,,Briggs Stadium,"1,722,590","21,805",2nd of 8,,105,107
69,1945,Detroit Tigers,AL,88,65,1,Won WS (4-3),Briggs Stadium,"1,280,341","16,847",1st of 8,,105,107
70,1944,Detroit Tigers,AL,88,66,2,,Briggs Stadium,"923,176","11,836",1st of 8,,103,105
71,1943,Detroit Tigers,AL,78,76,5,,Briggs Stadium,"606,287","7,773",2nd of 8,,106,107
72,1942,Detroit Tigers,AL,73,81,5,,Briggs Stadium,"580,087","7,534",3rd of 8,,108,108
73,1941,Detroit Tigers,AL,75,79,4,,Briggs Stadium,"684,915","8,895",4th of 8,,109,110
74,1940,Detroit Tigers,AL,90,64,1,Lost WS (4-3),Briggs Stadium,"1,112,693","14,085",1st of 8,,108,109
75,1939,Detroit Tigers,AL,81,73,5,,Briggs Stadium,"836,279","10,722",2nd of 8,,105,107
76,1938,Detroit Tigers,AL,84,70,4,,Briggs Stadium,"799,557","10,121",2nd of 8,,106,107
77,1937,Detroit Tigers,AL,89,65,2,,Navin Field,"1,072,276","13,926",1st of 8,,101,102
78,1936,Detroit Tigers,AL,83,71,2,,Navin Field,"875,948","11,376",2nd of 8,,98,100
79,1935,Detroit Tigers,AL,93,58,1,Won WS (4-2),Navin Field,"1,034,929","13,100",1st of 8,,93,96
80,1934,Detroit Tigers,AL,101,53,1,Lost WS (4-3),Navin Field,"919,161","11,490",1st of 8,,97,100
81,1933,Detroit Tigers,AL,75,79,5,,Navin Field,"320,972","4,115",5th of 8,,100,101
82,1932,Detroit Tigers,AL,76,75,5,,Navin Field,"397,157","5,092",4th of 8,,105,104
83,1931,Detroit Tigers,AL,61,93,7,,Navin Field,"434,056","5,637",5th of 8,,104,103
84,1930,Detroit Tigers,AL,75,79,5,,Navin Field,"649,450","8,326",3rd of 8,,103,102
85,1929,Detroit Tigers,AL,70,84,6,,Navin Field,"869,318","11,290",2nd of 8,,101,100
86,1928,Detroit Tigers,AL,68,86,6,,Navin Field,"474,323","6,160",4th of 8,,102,102
87,1927,Detroit Tigers,AL,82,71,4,,Navin Field,"773,716","9,919",2nd of 8,,101,101
88,1926,Detroit Tigers,AL,79,75,6,,Navin Field,"711,914","8,789",4th of 8,,100,101
89,1925,Detroit Tigers,AL,81,73,4,,Navin Field,"820,766","10,659",4th of 8,,98,98
90,1924,Detroit Tigers,AL,86,68,3,,Navin Field,"1,015,136","13,015",2nd of 8,,97,98
91,1923,Detroit Tigers,AL,83,71,2,,Navin Field,"911,377","11,836",2nd of 8,,97,98
92,1922,Detroit Tigers,AL,79,75,3,,Navin Field,"861,206","11,184",2nd of 8,,96,97
93,1921,Detroit Tigers,AL,71,82,6,,Navin Field,"661,527","8,591",3rd of 8,,100,99
94,1920,Detroit Tigers,AL,61,93,7,,Navin Field,"579,650","7,431",4th of 8,,98,97
95,1919,Detroit Tigers,AL,80,60,4,,Navin Field,"643,805","9,197",1st of 8,,99,98
96,1918,Detroit Tigers,AL,55,71,7,,Navin Field,"203,719","3,512",4th of 8,,95,95
97,1917,Detroit Tigers,AL,78,75,4,,Navin Field,"457,289","6,017",3rd of 8,,99,100
98,1916,Detroit Tigers,AL,87,67,3,,Navin Field,"616,772","8,010",2nd of 8,,101,104
99,1915,Detroit Tigers,AL,100,54,2,,Navin Field,"476,105","6,183",3rd of 8,,103,105
100,1914,Detroit Tigers,AL,80,73,4,,Navin Field,"416,225","5,336",3rd of 8,,102,103
101,1913,Detroit Tigers,AL,66,87,6,,Navin Field,"398,502","5,243",5th of 8,,99,99
102,1912,Detroit Tigers,AL,69,84,6,,Navin Field,"402,870","5,301",4th of 8,,98,97
103,1911,Detroit Tigers,AL,89,65,2,,Bennett Park,"484,988","6,381",4th of 8,,103,105
104,1910,Detroit Tigers,AL,86,68,3,,Bennett Park,"391,288","5,017",4th of 8,,104,107
105,1909,Detroit Tigers,AL,98,54,1,Lost WS (4-3),Bennett Park,"490,490","6,288",4th of 8,,102,105
106,1908,Detroit Tigers,AL,90,63,1,Lost WS (4-1),Bennett Park,"436,199","5,592",5th of 8,,100,104
107,1907,Detroit Tigers,AL,92,58,1,Lost WS (4-0),Bennett Park,"297,079","3,760",7th of 8,,102,103
108,1906,Detroit Tigers,AL,71,78,6,,Bennett Park,"174,043","2,231",7th of 8,,102,102
109,1905,Detroit Tigers,AL,79,74,3,,Bennett Park & Neil Park II,"193,384","2,545",8th of 8,,103,100
110,1904,Detroit Tigers,AL,62,90,7,,Bennett Park,"177,796","2,251",7th of 8,,98,97
111,1903,Detroit Tigers,AL,65,71,5,,"Bennett Park, Armory Park & Ramona Park","224,523","3,454",6th of 8,,97,96
112,1902,Detroit Tigers,AL,52,83,7,,Bennett Park & Burns Park,"189,469","2,828",6th of 8,,104,104
113,1901,Detroit Tigers,AL,74,61,3,,Bennett Park & Burns Park,"259,430","3,706",3rd of 8,,105,105
Copyright © 2000-2013 Sports Reference LLC. All rights reserved. Tips,,,,,,,,,,,,,,
